Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,495,0.4026325883217328,-0.8582672675193973,0.7378766911774639,186,0.6137325990467765,0.5016970856474716,309,0.02105748276199254,0.8907294045689995,-0.5475971444281799,-0.3280407325776089,1.028843571042326,1.1401813378966332,1.0378572322662887
2,Feb,452,0.4978770255479581,-0.6121470693839767,1.2572868270308524,189,0.6385473007972355,0.3709012843306448,263,0.015855307901836757,1.2471571340967937,-0.9734548456694473,0.8169224833359645,1.0042425734484868,1.0862462069993892,1.0378282968552046
3,Mar,496,0.27410971113712174,-1.1732374212585075,0.9518282132136124,119,0.5051602634928642,0.5244979231017545,377,0.045095158952451864,1.0085404037166796,-1.0436784483316972,0.875037915087924,0.9335664244354654,0.9391513120624426,1.038060249273904
4,Apr,480,0.42114180560129816,-0.7726058257832508,1.0344151285773227,173,0.5445759714529051,0.39418701479914636,307,-0.010144348940292536,0.963525735798036,-1.0244774286531717,0.687597134517385,0.8239291092624909,0.7320398887571439,1.0384307178013568
5,May,496,0.28961208389667525,-1.2704412066331514,1.1350464382853083,118,0.34861381613551257,0.5753168935793824,378,-0.12028408295189918,1.1475532768228023,-1.0770943731234255,1.1677242814376596,0.6961211560351879,0.5230277339815168,1.0389090427293672
6,Jun,480,0.19965666601845145,-1.5186985213046842,1.06788883206703,79,0.30646814730967753,0.5719288148023222,401,-0.05793854467386972,1.0217908497277621,-1.2539743266459236,1.8681897099382603,0.5842926243602857,0.36816427933929546,1.0384615488105384
7,Jul,496,0.3019207304112623,-0.7241891535092627,1.2240689563418394,115,0.43984894609120034,0.3988580270665814,381,0.08840171283329082,0.8490200145494662,-1.4283492339331447,2.6924511532982596,0.5363722399087226,0.30989920896162687,1.0378723477466292
8,Aug,496,0.23721170582213597,-0.9720633933548428,1.2403944116075334,96,0.4662382924493732,0.4502277966538994,400,0.1250562960729013,0.8939073218323756,-1.5688660568459485,3.1026524131047353,0.5813136641000276,0.3649566123800555,1.0392261993326586
9,Sep,480,0.26718168933580017,-1.1150808570489783,1.0325028674310868,112,0.499264339245018,0.4935468587883696,368,0.06794086252805409,0.9736034473729838,-1.2111078122668049,1.4109440735561094,0.691475082292033,0.5168815943356786,1.039726226981442
10,Oct,496,0.27529990806877697,-1.463047457120677,0.9793660620240677,123,0.450632594001715,0.5739174217271519,373,-0.07620334814533197,1.2333979908645658,-0.9853303298313343,0.6250251681974017,0.819388871888611,0.7251480055897187,1.0392577382375636
11,Nov,480,0.41112015504692667,-1.1843802713911618,0.6879050429802701,187,0.5764490709517398,0.6042876641178484,293,-0.14746336128345183,1.1602220604514721,-0.29857701590486646,-0.7119649455834902,0.930259602810359,0.9333796199903623,1.0385442251652321
12,Dec,496,0.43429079509823915,-0.7226214070223049,0.7223305904018148,203,0.6840969115165838,0.5565285496031855,293,0.07317209447907169,0.8879799408835964,-0.3701407823232699,-0.4333306582177485,1.003503534187612,1.0852089508092326,1.0380966205693498
