Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,402,0.4172333100548381,-0.8445818022285002,0.7279387732478453,159,0.6077049821230819,0.5280298280929552,243,0.0017625599391744573,0.8964101238950806,-0.45866287156421565,-0.401332278777351,1.041821400516777,1.1674848066088614,1.0371279645694846
2,Feb,367,0.5237612345836353,-0.5753345118696602,1.2431537671651747,161,0.6341473165665816,0.38588435272059723,206,0.000667620898342991,1.2452378145724556,-0.8945035507195043,0.676526079149637,1.016422076216359,1.1111950689505237,1.0371010252563508
3,Mar,403,0.2562417700947487,-1.2357042266781095,0.9963430321326627,88,0.49264182359112724,0.5358932258623279,315,0.04976737233387046,1.037267231038486,-1.114016406414236,1.1296730699597761,0.9427632773135266,0.9564458488553487,1.0373553135386742
4,Apr,390,0.41139453351917615,-0.7761288926746687,1.0557469977202347,134,0.5110336252174343,0.41168731567907346,256,-0.018497998394155613,0.95949122206613,-1.0376546669080815,0.8157734485131147,0.8278022559114698,0.7380085495844627,1.0377771185345117
5,May,403,0.2815508447043224,-1.25352621615137,0.9902812575868287,99,0.4050468375355687,0.5401075314924124,304,-0.06192580673381631,1.0421328104956413,-1.0307990869338006,0.8893580609595073,0.692584271152571,0.5171869569403873,1.0383676695670474
6,Jun,390,0.2086361031944779,-1.5810443559901148,1.0350863967517219,69,0.28116948845839007,0.5750175021903362,321,-0.1073555513621536,1.0577591422654649,-1.1992137732078088,1.5849222105988021,0.5725981811276886,0.3532010021578561,1.037913114368492
7,Jul,403,0.26576332273105663,-0.7952376205961256,1.2127666608377077,83,0.43083424708177015,0.4121452852755544,320,0.1049893136206202,0.8089400560744513,-1.514940537838815,3.038102612436542,0.5201201980042991,0.2909960296309939,1.0371457989366957
8,Aug,403,0.3303854905812361,-0.6720532493960806,1.3290644566790717,103,0.5270834912360252,0.3789326425190317,300,0.1309061109083024,0.9978612523905104,-1.4255107151793704,2.6602298445193178,0.5682463387358734,0.3484057508517644,1.038737979962002
9,Sep,390,0.27416371867373646,-1.1638623005821938,1.0250840195427593,94,0.4885837276162028,0.4823345076939247,296,0.035542979617684434,1.000333272677874,-1.212059019109353,1.315695828652939,0.6860166375178218,0.5082722380778945,1.0392344766812676
10,Oct,403,0.26719754867090434,-1.4712358591641028,0.9298149624891434,97,0.4399372380410055,0.5855196450493286,306,-0.07072352861797948,1.1974229575767783,-0.9326986976830564,0.5200090346830764,0.8214449765625853,0.7279427813280183,1.0386521962316928
11,Nov,390,0.3811289416251586,-1.24024390830859,0.6800451638252474,142,0.5440984457093061,0.6090335369269073,248,-0.13596606717447868,1.1567904028396838,-0.34894982927285206,-0.664199802608116,0.938111604904108,0.9479504851479369,1.037858910162004
12,Dec,403,0.4347970777182983,-0.696947876224205,0.7308196230949933,165,0.695826359699029,0.5522104175496445,238,0.09025219199827106,0.8812828941788853,-0.38907467516707583,-0.40504713324696073,1.0150278846285543,1.1087437743294475,1.0373794100999558
