Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,278,0.4687074325610361,-0.7890870733564459,0.6761087249367942,124,0.6217491967547489,0.5026876341409267,154,-0.039520249173057576,0.8441774895571839,-0.3342212798532507,-0.5868837637053472,1.0489561333242596,1.1775152158770887,1.034489143368704
2,Feb,254,0.5189647375023676,-0.48451558268228356,1.2368758605125658,114,0.6921762527790498,0.3357070240164629,140,0.08151468326767985,1.193809599124895,-0.9456224086441423,0.8099702526193404,1.0257797011916239,1.125986237785891,1.0344569946642375
3,Mar,279,0.280347417503328,-1.1726234222460057,1.087548829815238,63,0.4885657019042099,0.546971524206491,216,0.02285562096408167,1.1036351535303077,-1.1166812638864014,1.186983775818259,0.9537975564759967,0.9739607803330879,1.0347001903859834
4,Apr,270,0.39065812593290966,-0.8321441992662371,1.066237536942014,85,0.4715666262694977,0.44089073207515594,185,-0.03773860159273901,0.967166191226791,-1.0438024162749788,0.8981774169594186,0.8396927584729194,0.7554714862080443,1.0351150686486252
5,May,279,0.35019181577293335,-0.8383534036789744,1.1312303773184043,74,0.393617900113392,0.4769641990055492,205,-0.037808367741804905,0.9413383921635576,-1.1085042321129672,1.3740353627224193,0.7040286279654732,0.5316919089528452,1.0357136654913583
6,Jun,270,0.21337456261237764,-1.5495834774958246,1.1082430043893572,46,0.2564107266827646,0.5955355582902119,224,-0.12894249671433092,1.088502388370628,-1.1985674330439307,1.7018674922964605,0.5816708267764722,0.3626630583236944,1.0353194600115774
7,Jul,279,0.2803728270600752,-0.5886910908997951,1.1650872094447309,54,0.41969554347677235,0.3892360215972211,225,0.13697133202701967,0.6947752047608783,-1.4279172751114113,3.083347525980276,0.5247421714335235,0.29467499429922994,1.0344885158111066
8,Aug,279,0.1387504188445537,-1.986111353804408,1.0424415299551097,33,0.43552251339096554,0.5514225426224163,246,0.09951980002945116,1.1134330563639787,-1.6218811479775996,3.0329960365604114,0.5686507225642672,0.34705861008804645,1.0359906032910489
9,Sep,270,0.18870684653357458,-1.5607536716115866,1.0500599506862907,43,0.4399040283731308,0.5296859338149177,227,0.06236622281590043,1.0484844187026108,-1.4145417923184485,2.175752116372882,0.6849880346984051,0.5041581199543594,1.0365742062608134
10,Oct,279,0.3249227179363837,-1.240742511394825,0.9670550098773004,78,0.46189530050709154,0.556308633844756,201,-0.09133040499733652,1.1486729941486944,-0.8773951427490596,0.3871924923523742,0.8212921955311212,0.723996485516138,1.0360257103061739
11,Nov,270,0.41461040523392717,-1.1700008488775884,0.6759300968676517,106,0.6034632728936604,0.5462485565466799,164,-0.13183340530174786,1.1274618240480958,-0.36408107452457933,-0.7498227230072207,0.9400375754263709,0.9470334282740278,1.0352314107727527
12,Dec,279,0.4465097441157984,-0.697869425873423,0.774546004649743,118,0.735211601045636,0.5617599590898423,161,0.09532695841880134,0.950092259586122,-0.410262189110864,-0.38852184159832914,1.0195269410408117,1.1129253292600845,1.0347473118738397
