Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,309,0.461449078845401,-0.8334617205727752,0.6732687106282418,137,0.6247650912088195,0.514056828366177,172,-0.04813232783546334,0.8799311864186576,-0.32096360013150443,-0.6186092020546825,1.0383707773373914,1.1564179819121183,1.0356308064673856
2,Feb,282,0.5012503555268413,-0.5346316962738095,1.2213370457071124,118,0.6775475738431344,0.3736994731444823,164,0.06994228373474942,1.1846905830182066,-0.9523689035031134,0.779211001987659,1.014801071183423,1.1044490443993635,1.0355997213589738
3,Mar,310,0.2686916281821327,-1.1932262422665723,1.070009058411552,69,0.49206651349709096,0.5429718836089452,241,0.03924245898739903,1.0813249407106937,-1.1380436571624613,1.2479610001843717,0.943893894377154,0.9559338935961954,1.0358354099779965
4,Apr,300,0.38371135941648227,-0.8607023750434531,1.0390674507313982,94,0.4765771411117815,0.4485337715667158,206,-0.036552199951959186,0.9611604071422923,-1.0240244310042548,0.8109004996314395,0.8324364987073429,0.7440646977158565,1.0362254060186555
5,May,310,0.39093323860752316,-0.7547558775879347,1.1231920905960393,95,0.4289940364348558,0.4530392219921703,215,-0.033773151155450765,0.9518406950171232,-1.0545985576338825,1.1676680289123729,0.7010446592118295,0.5282596812161116,1.036759556932248
6,Jun,300,0.20787872482784756,-1.637635678450264,1.0501053371252207,53,0.2783866286218417,0.5851825289124715,247,-0.11991364531401819,1.1049942766928,-1.2021059148881095,1.5751637493890325,0.5840904058056149,0.366408964994291,1.0363416985601712
7,Jul,310,0.2727584574623461,-0.7770438517690184,1.242186432107661,65,0.41831312762562683,0.41163167400812334,245,0.09226940180909393,0.8275321012757588,-1.5024853463756818,3.0773403240472534,0.5313842871076586,0.30285174708102414,1.035634079746486
8,Aug,310,0.32159259069033386,-0.7315040153336302,1.373913173504994,79,0.4952489329382283,0.39618429771861424,231,0.1007342741664762,1.0418645914875462,-1.441836480857545,2.786090858270547,0.5751202095346826,0.3557195875735842,1.0370394106841532
9,Sep,300,0.24153951168962326,-1.2850333023021827,1.0728919248094777,60,0.4890060183869767,0.49198504748303107,240,0.06050542714952617,1.0381843886471123,-1.3377087855585297,1.7625900977845692,0.6877384268050175,0.5092119814743409,1.0375905699485621
10,Oct,310,0.3158894942497999,-1.1889028009133713,0.9790184611074729,82,0.47596476498122425,0.5468097793476003,228,-0.04994940840211498,1.1063142739393954,-0.9272742290067049,0.5410554143253172,0.819508513992391,0.7223418866279036,1.0370935414746498
11,Nov,300,0.4143887896633798,-1.1969496796820875,0.6730907521908714,119,0.5893931752228366,0.5615063134675703,181,-0.15084727834504136,1.146743610217054,-0.3387661366804616,-0.7630567155035717,0.9342385954714942,0.9373974038508841,1.0363443122257932
12,Dec,310,0.44307601889200604,-0.7217687596307594,0.7471240186646552,129,0.7398640192602077,0.5657804753169574,181,0.09224958650713838,0.9527681064117077,-0.37133175632682824,-0.4555356020792969,1.010723055199214,1.0961830057691948,1.0358797900847971
