Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,371,0.4155833049288195,-0.8589627789184673,0.7175651293346524,144,0.6040971104645022,0.5069995727753168,227,-0.003926153674065291,0.8840893589167569,-0.4851486527692617,-0.41528817605231616,1.0408102039959868,1.1639544542396085,1.036564788340064
2,Feb,339,0.4868910577454093,-0.6338782308848658,1.208246635478719,139,0.6536052752612795,0.40928735342632344,200,0.026741069124014638,1.2108653677944088,-0.9464107740641742,0.6775531944169213,1.015593516619026,1.1081811769819696,1.0365385648574479
3,Mar,372,0.26799278381103026,-1.244559527007675,0.9960660799963723,86,0.49782528009039223,0.5398380875804782,286,0.03087872516613621,1.0747752254056295,-1.077013009347114,0.978876097726038,0.9430904205141115,0.9560515241328906,1.0367816823829534
4,Apr,360,0.40127764481691514,-0.7977051384528111,1.0744859308728762,122,0.4934143400894523,0.4365356635400923,238,-0.024683043437230823,0.9778783566110009,-1.0332405598606,0.8704093755663092,0.8304287581686948,0.7418372909252159,1.0371747845406125
5,May,372,0.2783374084883073,-1.2519356323673687,0.9801934529213044,88,0.40607738062710047,0.5444033123295783,284,-0.05540966464967023,1.0334847538956575,-1.018126837119198,0.8710796406050436,0.6986762202438136,0.5256467763157199,1.0376981454159446
6,Jun,360,0.20536416598105067,-1.5810429809091122,1.0328710055215382,60,0.2815779878713782,0.5704672294389885,300,-0.10093761392104386,1.0438511230317586,-1.2165812462012413,1.6465711369522005,0.582822714764317,0.3654544853964999,1.0372422027167263
7,Jul,372,0.25705913623136023,-0.8103927248679891,1.2233101690433976,72,0.4152576465357291,0.41806996608153124,300,0.10019302074104347,0.8014322696009324,-1.5317601841673893,3.181480083782663,0.5329268794949732,0.3051706576498607,1.036582234231744
8,Aug,372,0.24408100881968356,-1.0142070802436007,1.319482732115164,77,0.4972823301000664,0.4633422087002009,295,0.12835647000311542,1.0087599679870132,-1.5822638747722078,3.107655360141635,0.5797007987535693,0.3620982551193561,1.0380285947175867
9,Sep,360,0.26049343859277646,-1.1697982326995666,1.0384725537009283,78,0.4785811898123152,0.48245827412967357,282,0.04918916593662004,0.9764781405836593,-1.2631857475691295,1.5352254662185985,0.6938422187652925,0.5192234414171268,1.038523727628435
10,Oct,372,0.27779835772194517,-1.4615908264809527,0.929617148001868,94,0.4403930634609879,0.5886318103197755,278,-0.08797493757848007,1.2160784753800338,-0.8993788948241399,0.4247932774250147,0.8257217375771636,0.734632684624747,1.0380096847647655
11,Nov,360,0.38324564701364444,-1.2298697822913858,0.7015500938723476,132,0.5504565213191445,0.6025617839689884,228,-0.13184578480348325,1.1617388913494253,-0.37888085858794257,-0.6266565550507299,0.9396702692151059,0.9500161454046595,1.0372656758393382
12,Dec,372,0.44024487120381484,-0.6916122889108254,0.7237828600299855,155,0.7085855545170746,0.5512520304102494,217,0.09215563527729942,0.8838631107755843,-0.3713347188192606,-0.43692136185287245,1.0148215585378852,1.1070704598195522,1.0368070619410246
