Month,Month_abbr,n_obs,p,mu1_raw,mu1,sd1,N1,mu0_raw,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,557,0.5125511290280685,-0.06021409551551467,-0.062481028036919184,0.9884774908892485,206,0.10377931115332467,0.10768638130838186,0.8739561106589564,351,0.020466883524666322,0.8803552029299815,-0.03289657900212344,0.043560542284657,1.0124293057168454,1.1036450364843569,1.0376478713496646
2,Feb,508,0.49058909003504286,-0.5902779303106042,-0.6124869233047715,1.2343089412988077,210,0.6164091258574572,0.6396012956045211,0.38560837056903585,298,0.025340475646213667,1.214960218170336,-0.9706050504025724,0.793393036174538,0.9868285385470267,1.0484891754454417,1.0376246372322966
3,Mar,558,0.40339399662406483,-0.6413312889609963,-0.6656093450182299,1.1087186645246068,170,0.5331866506446609,0.5533708138316638,0.43797607092072144,388,0.061641535747767706,0.9679282522544287,-1.047251489607031,1.036649569670839,0.9168909572046691,0.9055435538502868,1.0378557174351586
4,Apr,540,0.4363969692071049,-0.7198303134926659,-0.7473332125512433,1.0478951449444511,197,0.5245087546002627,0.5445489099851027,0.38912645587383243,343,-0.019224532862600396,0.9750294011215158,-1.00734457399568,0.664710782882052,0.8098672409264246,0.7069618322498196,1.0382074754883988
5,May,558,0.4064684465345378,-0.8466750576409929,-0.8793813475199745,1.2857935389563282,169,0.36499667333812585,0.3790961639222958,0.47947370574412423,389,-0.1324352351522948,1.1905364132027652,-1.0672682057518712,1.2741261273447915,0.6866504437710342,0.508618763047947,1.0386290933975402
6,Jun,540,0.37930287219084546,-0.7012639080260693,-0.7280227456636483,1.273077936371986,150,0.3399156521873542,0.35288615821689745,0.45329643086187654,390,-0.05710569360165205,1.017356484427735,-1.122874163479483,1.7834567344800991,0.5808955041125288,0.36368295878480356,1.0381580134544501
7,Jul,558,0.3681037257406111,-0.5431208651084009,-0.5635856843273742,1.154194705888663,150,0.4435514640705264,0.46026450367121013,0.3608965897846799,408,0.08338143486870614,0.8165081897355163,-1.2531376382645534,2.056130529779108,0.5382088511664245,0.31190950010448876,1.0376800460702036
8,Aug,558,0.35082668440667125,-0.5588699898996083,-0.5806459538293118,1.231625855001985,147,0.48074165124762086,0.49947340111122474,0.3595623927370801,411,0.1205387090539638,0.8818014263750742,-1.340089919077563,2.394573410544975,0.5840974113835221,0.36827462164544916,1.0389642749177053
9,Sep,540,0.4159051468640364,-0.5802991665640023,-0.6031680719689541,1.1522378298634344,170,0.5172646468405748,0.5376494362035598,0.39271781633225217,370,0.06317756292200638,0.9584229309430092,-1.104416629168625,1.2950358739957455,0.6910509756894102,0.5159325930676056,1.0394088200063434
10,Oct,558,0.4202922101429847,-0.7853658682065741,-0.8159720861594155,1.2047865649777205,184,0.490824211681482,0.5099519499845983,0.47489851875925293,374,-0.047323593648076034,1.1691483209337068,-1.0115179866626556,0.9167401942487774,0.8141672169533627,0.7155397758045166,1.0389706494665123
11,Nov,540,0.48218158322054516,-0.197332965259299,-0.20489051487950113,1.0928557585108303,130,-0.08659685882338782,-0.08991338557121943,1.0402113333599659,410,-0.14535323981524007,1.1394864984192399,-0.00796197602555346,0.00731882677232365,0.9203077910780606,0.9130837653118888,1.0382984647814488
12,Dec,558,0.49961434562526386,-0.017514263883580322,-0.018177585990759543,0.964982234784792,173,0.10800762655242917,0.11209822647215233,0.8745756316318624,385,0.04701056167769502,0.8522154312748746,-0.020655024045261004,0.02851697459262237,0.9896836330127197,1.0550703395103778,1.0378732507165824
