Month,Month_abbr,n_obs,p,mu1_raw,mu1,sd1,N1,mu0_raw,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,557,0.40145202547870146,-0.8382039209144084,-0.8697605142937785,0.754765492424022,209,0.595145222088885,0.6175511728444549,0.5129268417825947,348,0.020466883524666468,0.9177106972140155,-0.5511221953285268,-0.3074477376225344,1.0124293057168454,1.1036450364843569,1.0376478713496646
2,Feb,508,0.4852175991432576,-0.6024160665621817,-0.6250817525294908,1.2336454835041917,209,0.6152589870796129,0.6384078832723936,0.3899034260237771,299,0.025340475646214278,1.2154558317278377,-0.9789912725966087,0.8025237866117387,0.9868285385470267,1.0484891754454417,1.0376246372322966
3,Mar,558,0.2640136951470966,-1.1319676879148444,-1.1748191368542784,0.9586517936925881,126,0.4867592434693298,0.5051858638490563,0.5088091192449475,432,0.061641535747768206,0.9815942856247759,-1.1118914621779417,1.0612000858431285,0.9168909572046691,0.9055435538502868,1.0378557174351586
4,Apr,540,0.4029801070753697,-0.7978897408973482,-0.8283750936151285,1.0400307161898332,185,0.5075486653472722,0.5269408185376976,0.40820452230781235,355,-0.019224532862600563,0.9773010120100953,-1.0467572532186122,0.7486785996757197,0.8098672409264246,0.7069618322498196,1.0382074754883988
5,May,558,0.2764771638688424,-1.3081903335373957,-1.358724540113371,1.1934474438025453,129,0.32365958427307,0.33616226058296345,0.5713237204872071,429,-0.13243523515229508,1.2045928300987983,-1.1739780642072029,1.4369619924004766,0.6866504437710342,0.508618763047947,1.0386290933975402
6,Jun,540,0.20623985692351096,-1.3853797271011157,-1.4382430653673626,1.1563231686207995,89,0.29065930463560086,0.30175028629254724,0.5743925573813914,451,-0.05710569360165288,1.0332720191633908,-1.3018163407888865,2.139736421688565,0.5808955041125288,0.36368295878480356,1.0381580134544501
7,Jul,558,0.3007682704250419,-0.7013673876798497,-0.7277949431597648,1.1855794310324312,129,0.41660403471202473,0.4323016939330065,0.4029056737273305,429,0.08338143486870622,0.8193036996949359,-1.4034817021939796,2.557537286143976,0.5382088511664245,0.31190950010448876,1.0376800460702036
8,Aug,558,0.2107270974363039,-1.0846254876193693,-1.1268871333017205,1.208282256800847,93,0.436576659106851,0.45358755207494367,0.463715627272091,465,0.12053870905396355,0.8928229942968697,-1.6140155279814765,3.225067816219455,0.5840974113835221,0.36827462164544916,1.0389642749177053
9,Sep,540,0.2678990271697726,-1.1059498183296483,-1.1495339956562496,0.9891734083470691,128,0.4877265589234426,0.5069472870963697,0.48841743072958277,412,0.06317756292200594,0.9749380847377618,-1.1790188558014396,1.2310732423233697,0.6910509756894102,0.5159325930676056,1.0394088200063434
10,Oct,558,0.26394599227116206,-1.3959240627183631,-1.4503241300484302,0.9793340280931286,133,0.43869066796946954,0.4557867282151379,0.5596803277550667,425,-0.04732359364807592,1.1895764499577715,-1.0425962955807317,0.78411749607849,0.8141672169533627,0.7155397758045166,1.0389706494665123
11,Nov,540,0.39957988748240797,-1.1730105745621746,-1.2179350787403112,0.7011650732243211,204,0.5474827651534787,0.5684505145531594,0.6224469918897575,336,-0.14535323981524012,1.1946863096351308,-0.31294683198954576,-0.6795006365645957,0.9203077910780606,0.9130837653118888,1.0382984647814488
12,Dec,558,0.4481518778996084,-0.6956625707622395,-0.72200957371886,0.7214746854480214,239,0.6470214585729942,0.671526264492538,0.5595524729508987,319,0.04701056167769513,0.8863228086478621,-0.3401880007761971,-0.45492800089137386,0.9896836330127197,1.0550703395103778,1.0378732507165824
