Month,n,p,gap,sd_ratio,dprime,bhatt,E_max_post
Jan,557,0.5168651921772328,0.11330481101494477,1.0858840592160373,0.11786796646629422,0.003431901916755192,0.5263183423670947
Feb,508,0.38881640395948647,1.2494162525187278,2.2443955096004906,1.2386942950517759,0.33998311612944426,0.8137195704298128
Mar,558,0.34622682635405866,1.2201581727676316,2.0657158485480887,1.3558915191652494,0.35124096827286666,0.8321019964664222
Apr,540,0.36491872216356425,1.2514577368938393,2.096633509740247,1.433667423205558,0.38300232612972984,0.8352471404188502
May,558,0.34813885489224633,1.2626447509777283,2.1869550663896726,1.225350365549635,0.3272983678890594,0.8239051395517865
Jun,540,0.3144727765433631,1.110523862757371,2.2935014010013193,1.085993837613444,0.3029113812071109,0.8292956347322656
Jul,558,0.2949889783408149,1.056011529211238,2.4641613275752965,1.1293727114801158,0.34001409107462466,0.8479150309476358
Aug,558,0.26153575632057346,1.20418054634762,2.5436880436978715,1.2217362671473095,0.3786696912225591,0.870882707005401
Sep,540,0.3429625709155774,1.1986490155856613,2.2066110060941506,1.312705464998453,0.3579503233331368,0.8350695478162009
Oct,558,0.35653816796709303,1.3671678475667666,2.0440215852120156,1.4246093490358662,0.3718675495170404,0.834730811712082
Nov,540,0.48862022195358756,0.1311773299599342,1.0467058337282646,0.12044361776639842,0.0023340857268881313,0.5297642400710283
Dec,558,0.5038031697089334,0.07961234419732804,1.0753390547765953,0.08392671981062615,0.0021983011269969604,0.5219230655183759
