Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,402,0.5076516853463169,-0.5752098962637137,0.88330115329849,174,0.5966687088427733,0.5429846134764496,228,0.0017625599391742908,0.8844851120090069,-0.5053384659050159,-0.09479673168695069,1.041821400516777,1.1674848066088614,1.0371279645694846
2,Feb,367,0.5247207995448134,-0.5727661734174428,1.2436110406522145,161,0.633753686417774,0.385299929241195,206,0.0006676208983428245,1.2451076286416245,-0.8927867121333994,0.67702894872588,1.016422076216359,1.1111950689505237,1.0371010252563508
3,Mar,403,0.3790740023127304,-0.7220736613291059,1.1668093366457397,109,0.5209746834620806,0.47979791042862924,294,0.04976737233387063,1.022726086605101,-1.0657527650961571,1.2132133534879195,0.9427632773135266,0.9564458488553487,1.0373553135386742
4,Apr,390,0.4444307931524007,-0.7013128822490762,1.058990495588562,146,0.5277237084024047,0.3936563218030058,244,-0.01849799839415539,0.9574740037570431,-0.9935324422488927,0.7210788339525691,0.8278022559114698,0.7380085495844627,1.0377771185345117
5,May,403,0.45222042703856324,-0.6733254989408483,1.1717755834543162,142,0.4428163259571642,0.4156373686848895,261,-0.061925806733816285,1.024155411456516,-0.9923488466879291,1.045006215466902,0.692584271152571,0.5171869569403873,1.0383676695670474
6,Jun,390,0.4111120278942244,-0.7259324573561828,1.2684125255442702,118,0.32448279188399154,0.426860441990626,272,-0.10735555136215372,1.0358523536492843,-1.0797177223250505,1.6322406579796889,0.5725981811276886,0.3532010021578561,1.037913114368492
7,Jul,403,0.335866508286809,-0.5910738365418794,1.1819461999650283,95,0.4570033329544862,0.3707992174627198,308,0.1049893136206198,0.8055415127617931,-1.3384120091999574,2.432315732398627,0.5201201980042991,0.2909960296309939,1.0371457989366957
8,Aug,403,0.37603370176831397,-0.5427404950891355,1.3129737011237483,119,0.5368796829662266,0.34173188456874076,284,0.13090611090830254,0.9945944039840926,-1.305088395869943,2.3674096036662338,0.5682463387358734,0.3484057508517644,1.038737979962002
9,Sep,390,0.40503812490388236,-0.6686446102173199,1.1657528379947595,118,0.5149397828519691,0.4039097874032468,272,0.035542979617684656,0.9850877949460569,-1.1241776663115262,1.3221302314205712,0.6860166375178218,0.5082722380778945,1.0392344766812676
10,Oct,403,0.41748125714516826,-0.8686091570944817,1.1633815095146238,131,0.5011075056968162,0.5195018657068652,272,-0.07072352861797943,1.1785099337695126,-0.9269811637340251,0.6862663515129435,0.8214449765625853,0.7279427813280183,1.0386521962316928
11,Nov,390,0.4816678312985325,-0.2613017214896891,1.0908036227399969,115,-0.019496057316457347,0.9980719591684744,275,-0.13596606717447915,1.1040469033778657,-0.03035303029772158,0.02321758288450626,0.938111604904108,0.9479504851479369,1.037858910162004
12,Dec,403,0.5178996363967461,0.0010128079263672777,0.9829445377992128,159,0.1861182150347994,0.838818750563517,244,0.09025219199827074,0.848153238642394,-0.04653382426741911,0.07090955787667585,1.0150278846285543,1.1087437743294475,1.0373794100999558
