Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,526,0.508754244839979,-0.07948714484186176,0.9890325600951851,183,0.10594209444067902,0.8678704724026923,343,0.011604181838238227,0.8762552312147871,-0.0381003385810006,0.048971903902061964,1.0215238778946147,1.125571601115703,1.038575422336933
2,Feb,480,0.5061308631802216,-0.5935545118893637,1.2414468397729117,205,0.6429305484453648,0.36078666149073557,275,0.017107297548700273,1.2264957847607612,-0.9589418922764207,0.772010091404753,0.9954470164916744,1.0687904467505793,1.0385517272128582
3,Mar,527,0.41625632325016404,-0.6529429661273165,1.1029585543633695,166,0.5680233817585693,0.43859561276520387,361,0.05978841897540982,0.9809106421704126,-1.014518985175612,0.9251096242837917,0.9240751044383956,0.92144556173553,1.0387895479742555
4,Apr,510,0.456974575364272,-0.7274692292040288,1.0316577291229667,198,0.5652149252484764,0.37879519343543877,312,-0.02550886731258023,0.9789472392295802,-0.9625084499807747,0.5109063881820815,0.8146985545406947,0.716731346024715,1.0391572059483682
5,May,527,0.4199965629326404,-0.8195673238696525,1.253437000941829,165,0.3915677866245029,0.4887555545310087,362,-0.11710479703008597,1.15573421735802,-1.0047620609509658,1.1320505885983039,0.6884299213176845,0.5122259045754977,1.0396113952203683
6,Jun,510,0.38626821029861524,-0.6968703390793014,1.2454240870707851,142,0.3602575103544535,0.4481952012602487,368,-0.04807737210314694,0.9873439327166076,-1.0996273873221076,1.7024955689063672,0.5796073884828633,0.36275012014386365,1.0391299672219096
7,Jul,527,0.3794220432791586,-0.5733458321620168,1.1694632210976108,146,0.46640434311980095,0.35530201336574224,381,0.07190020711451028,0.8518080615682848,-1.2409526953239456,1.9739351533555007,0.5354765034110377,0.30930387078765437,1.0386094233956717
8,Aug,527,0.35768259719875733,-0.5745577607661987,1.2463470023807863,143,0.5084158881914417,0.35473395029625404,384,0.12105506073445763,0.9058972205368517,-1.3321598469129776,2.3662936387660185,0.582794117342383,0.3673450189192961,1.039972650534864
9,Sep,510,0.41206685962969575,-0.5964522273481329,1.1576572126075453,158,0.5373505037250239,0.38621298107769064,352,0.07014797289213576,0.9513734169516076,-1.1245742158275505,1.3708465229368967,0.6927823070157926,0.5195269235075314,1.0404165256900006
10,Oct,527,0.40965239094782463,-0.8915973568579019,1.168321209605762,166,0.5085984591859938,0.5052739453542276,361,-0.06499510465152852,1.1840155617753145,-0.9680787133036388,0.7450926383598246,0.8189348944581581,0.7252997492619812,1.0399426434226609
11,Nov,510,0.49279914294808425,-0.23431681774639204,1.0897200913673386,164,-0.06591561081771231,1.0266256067827708,346,-0.14890358126358866,1.1268517495834693,-0.014110316812882797,0.010514463379151184,0.9274413008316678,0.9289823502444433,1.0392434583171026
12,Dec,527,0.49525913392706605,-0.0013809620337324505,0.9741711902115582,152,0.14734611873965633,0.8552584806430331,375,0.07368767352432701,0.8447363876855819,-0.03126180192609474,0.04974587242215156,0.9982843274465496,1.075418552104029,1.0388061429589066
