Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,371,0.500659562660742,-0.6341751793982057,0.8379191355375484,162,0.6279878232266775,0.5020881589119089,209,-0.003926153674065458,0.8756604805158172,-0.5190673454443049,-0.21747924116701878,1.0408102039959868,1.1639544542396085,1.036564788340064
2,Feb,339,0.5002805662347123,-0.6005330400931725,1.213188968113052,142,0.6547195413219618,0.3981688944184993,197,0.02674106912401414,1.209466071723273,-0.9293184321331343,0.6709468836468324,1.015593516619026,1.1081811769819696,1.0365385648574479
3,Mar,372,0.38037157139244854,-0.7831614432472803,1.1493414634916617,104,0.5305939153355294,0.49588039176373444,268,0.030878725166136323,1.0616186785782962,-1.029885619530196,1.0241803393536033,0.9430904205141115,0.9560515241328906,1.0367816823829534
4,Apr,360,0.4452684735810372,-0.7000966407941884,1.075794737294044,133,0.5174537690717351,0.41157935906334936,227,-0.024683043437230934,0.9754612313721225,-0.9758364029549438,0.7348002352083127,0.8304287581686948,0.7418372909252159,1.0371747845406125
5,May,372,0.4528011113271586,-0.6527312859233726,1.1731365697305751,129,0.4388674611472347,0.420477976337483,243,-0.05540966464967015,1.0151553864090552,-0.981267825412609,1.0662008824108362,0.6986762202438136,0.5256467763157199,1.0376981454159446
6,Jun,360,0.4009246908216135,-0.7375425241402511,1.2610679497955095,107,0.3251033577143884,0.4366931198535813,253,-0.10093761392104375,1.0230514420623846,-1.0908305844339932,1.6506886505283367,0.582822714764317,0.3654544853964999,1.0372422027167263
7,Jul,372,0.32753929802672477,-0.5973464583143626,1.1922838820565287,84,0.4399475828222263,0.3765923057067996,288,0.10019302074104347,0.7979722775957537,-1.3494662910506199,2.556370889633179,0.5329268794949732,0.3051706576498607,1.036582234231744
8,Aug,372,0.3763202722222632,-0.5473425324994322,1.3126110505355073,108,0.5360644990392762,0.34535865961220774,264,0.12835647000311537,0.9982559874086917,-1.3005729840555489,2.342664265477742,0.5797007987535693,0.3620982551193561,1.0380285947175867
9,Sep,360,0.39754431761895637,-0.6458495051882175,1.1739331847671923,108,0.5078265102456228,0.3969793555332189,252,0.049189165936620094,0.9615766790125626,-1.152888273778409,1.4744100329126795,0.6938422187652925,0.5192234414171268,1.038523727628435
10,Oct,372,0.41512212829086886,-0.9157621715046501,1.14753060320649,119,0.4995542115672699,0.5325422142160947,253,-0.08797493757848013,1.1988650144614086,-0.9004547538574166,0.587512244922979,0.8257217375771636,0.734632684624747,1.0380096847647655
11,Nov,360,0.5275711124678566,-0.22436618027451835,1.087888276553679,189,-0.028526345089291128,1.0033597693706666,171,-0.13184578480348313,1.1095487675812215,-0.02205938817322306,0.018376903211168916,0.9396702692151059,0.9500161454046595,1.0372656758393382
12,Dec,372,0.4709344725870905,-0.0108704560355719,0.9823523579515547,86,0.1838617387015549,0.8551769594224456,286,0.09215563527729949,0.8508277347568465,-0.04347777395420186,0.057206325740077446,1.0148215585378852,1.1070704598195522,1.0368070619410246
