Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,309,0.481477293289184,-0.1493902297572038,0.9705457248112136,83,0.045891289472797546,0.8580764097280132,226,-0.04813232783546325,0.8448382469481958,-0.03882548835537942,0.04474122202495456,1.0383707773373914,1.1564179819121183,1.0356308064673856
2,Feb,282,0.5030762382005973,-0.530155947287867,1.2218608148259544,118,0.6774704074060816,0.37226030448176767,164,0.06994228373474964,1.1845036976468735,-0.9493989401488137,0.778047770631852,1.014801071183423,1.1044490443993635,1.0355997213589738
3,Mar,310,0.37794175928865564,-0.7486865892633009,1.1969157104488937,85,0.5179617672469783,0.49168665501676756,225,0.03924245898739914,1.0690251081749276,-1.0680393759576128,1.2334836194974272,0.943893894377154,0.9559338935961954,1.0358354099779965
4,Apr,300,0.44279437859930254,-0.7206703760357182,1.049723040031331,108,0.5070957300635527,0.4189833929750885,192,-0.0365521999519593,0.957658552215078,-0.9540509407233633,0.656847047869801,0.8324364987073429,0.7440646977158565,1.0362254060186555
5,May,310,0.45798126922921134,-0.6006715868866954,1.133415821024711,112,0.44523034149329893,0.4020899218412017,198,-0.033773151155450626,0.9475150462148274,-0.9742034369881519,1.0553423693884234,0.7010446592118295,0.5282596812161116,1.036759556932248
6,Jun,300,0.4200454134373819,-0.7330639115275768,1.293176473870572,94,0.324174500617227,0.4302653249707729,206,-0.11991364531401819,1.0821029525323302,-1.0617043172536134,1.5921991439740486,0.5840904058056149,0.366408964994291,1.0363416985601712
7,Jul,310,0.3316309730590094,-0.6086722404161838,1.2100735480311642,72,0.4400622370525972,0.3779380939453005,238,0.09226940180909357,0.8248503785709744,-1.3450282057619958,2.5332408612613486,0.5313842871076586,0.30285174708102414,1.035634079746486
8,Aug,310,0.37762671122006397,-0.570534591010924,1.3512864500409154,89,0.508028511356975,0.34730284932082806,221,0.10073427416647615,1.0380111120991788,-1.2945318769294023,2.417481162744286,0.5751202095346826,0.3557195875735842,1.0370394106841532
9,Sep,300,0.389232936858353,-0.6573361285173297,1.237486120313692,89,0.5179753756336013,0.3966171424372683,211,0.06050542714952606,1.020528129929739,-1.2001338863457878,1.6830978406489452,0.6877384268050175,0.5092119814743409,1.0375905699485621
10,Oct,310,0.4480087578797148,-0.7364782465651084,1.1376379516850594,109,0.5072531494728575,0.4829554219631619,201,-0.04994940840211526,1.0911072841078575,-0.9023612961428109,0.6737138950198078,0.819508513992391,0.7223418866279036,1.0370935414746498
11,Nov,300,0.5046415168892728,-0.2636455012591773,1.08486785612998,115,-0.03593521313452181,0.9919157989180366,185,-0.15084727834504133,1.0942754899659506,-0.02877435697887906,0.022941441746923807,0.9342385954714942,0.9373974038508841,1.0363443122257932
12,Dec,310,0.497831940960794,-0.01735880170662835,1.0111523417920094,100,0.20091152879483531,0.8888992870577209,210,0.09224958650713765,0.917692148594869,-0.04326693454358963,0.04780035942075678,1.010723055199214,1.0961830057691948,1.0358797900847971
