Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr_paper,mean_corr_legacy
1,Jan,309,0.4604604314,-0.7579565516,0.6753573630,136,0.5633233054,0.5182058560,173,-0.0450737875,0.7886217927,-0.3284581457,-0.4930861951,1.0472127413,1.1756008198,0.9438163982,0.9658395326
2,Feb,282,0.5265690775,-0.4163130968,1.2450656239,124,0.6360263422,0.3678129233,158,0.0818969346,1.1564028494,-0.8830571081,0.9131399580,1.0245761957,1.1252507335,0.9542177226,0.9658720731
3,Mar,310,0.2691299105,-1.1264808034,1.0730995331,66,0.4714822985,0.5500986573,244,0.0414226319,1.0333502464,-1.1148665154,1.2881161569,0.9541456102,0.9762973113,0.9885901561,0.9656585940
4,Apr,300,0.3846014785,-0.8720324148,1.0367195197,94,0.4686539590,0.4465378977,206,-0.0469760025,0.9614966764,-1.0235094352,0.7989274694,0.8426316638,0.7619926303,1.0515828673,0.9653001845
5,May,310,0.3932990772,-0.8238600556,1.1206484774,96,0.4596758693,0.4512547668,214,-0.0451376254,1.0105784547,-1.0576443566,1.0209001646,0.7105325934,0.5423640442,1.1445810651,0.9648028093
6,Jun,300,0.2073743110,-1.9745333621,1.0385017992,52,0.3403706028,0.5888259778,248,-0.1396810120,1.3792901559,-1.2523495880,1.3627076722,0.5920974499,0.3763401090,1.2543142094,0.9651680511
7,Jul,310,0.2702242320,-0.9962457090,1.2440365608,63,0.5361955608,0.4206927355,247,0.1220927956,1.0104708258,-1.5444509232,2.6075023645,0.5372265581,0.3093862740,1.3177354086,0.9658439260
8,Aug,310,0.3093029706,-0.9485325491,1.3774214534,76,0.5921614831,0.4120750504,234,0.1156202422,1.2112344758,-1.5031586174,2.4388656585,0.5791724323,0.3605325383,1.2674525454,0.9645742166
9,Sep,300,0.2407034910,-1.4422327995,1.0727142990,59,0.5472557891,0.4975353787,241,0.0683789405,1.1883357012,-1.3366861446,1.5604944391,0.6914785477,0.5144929207,1.1593101919,0.9640265825
10,Oct,310,0.3131419236,-1.2164693435,0.9806238587,80,0.5001494896,0.5637804855,230,-0.0373958339,1.1532467401,-0.9040896838,0.4810388689,0.8241159956,0.7301262011,1.0624174737,0.9644714510
11,Nov,300,0.4136799431,-1.1493731861,0.6751324092,119,0.5676196740,0.5682377394,181,-0.1426658347,1.0929258246,-0.3308384124,-0.7103187895,0.9402489251,0.9490296944,0.9953630669,0.9651680676
12,Dec,310,0.4496761192,-0.6673301618,0.7488257629,133,0.6648942088,0.5387352282,177,0.0658247239,0.8510857244,-0.4157520351,-0.3476859490,1.0182330031,1.1119793834,0.9569190865,0.9656034342
