Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr_paper,mean_corr_legacy
1,Jan,371,0.4127864706,-0.7835807457,0.7192391215,144,0.5426885876,0.5112311412,227,-0.0047774495,0.7933773546,-0.4888819228,-0.2842424418,1.0482929966,1.1803068642,0.9424186582,0.9649064689
2,Feb,339,0.5214846172,-0.4826504594,1.2385279475,146,0.6143795396,0.3956823007,193,0.0422952705,1.1751638064,-0.8768316326,0.8210770618,1.0240552301,1.1262919990,0.9535340160,0.9649346026
3,Mar,372,0.2665106918,-1.1841260202,0.9966634830,84,0.4761571511,0.5474490410,288,0.0336739345,1.0234183424,-1.0558525823,1.0240750725,0.9521488015,0.9741179280,0.9886592736,0.9647150570
4,Apr,360,0.4016041949,-0.8111955263,1.0713304133,122,0.4854809623,0.4344932548,238,-0.0352697550,0.9779724428,-1.0335514576,0.8576629831,0.8396152452,0.7580306507,1.0524386154,0.9643549907
5,May,372,0.2772411955,-1.3840543086,0.9733329479,88,0.4353588764,0.5442848015,284,-0.0690574102,1.1400721573,-1.0267078368,0.7426314776,0.7073714855,0.5385909148,1.1460254520,0.9638690551
6,Jun,360,0.2049326777,-1.9062353333,1.0222837715,61,0.3445083539,0.5738664331,299,-0.1167425767,1.3014066893,-1.2688508059,1.4382166827,0.5902216096,0.3746575765,1.2551345753,0.9642682037
7,Jul,372,0.2534311255,-1.0424711642,1.2242257973,70,0.5303775334,0.4270069215,302,0.1317687176,0.9840124654,-1.5759175805,2.7369413357,0.5382280944,0.3111487513,1.3152222594,0.9649000571
8,Aug,372,0.2419766708,-1.2534848552,1.3161741817,75,0.5959410814,0.4678330421,297,0.1484231503,1.2124655245,-1.6021475735,2.7104697316,0.5831272845,0.3662169570,1.2618637268,0.9635941122
9,Sep,360,0.2667177538,-1.2698869727,1.0484762791,80,0.5375136870,0.4833858782,280,0.0554478428,1.1034422704,-1.2567839974,1.3352840462,0.6967697490,0.5234040700,1.1537882074,0.9630985729
10,Oct,372,0.2757697403,-1.4882741733,0.9316947566,92,0.4622567478,0.6039704888,280,-0.0756406578,1.2634202065,-0.8822134762,0.3805254256,0.8293042860,0.7407508427,1.0580857801,0.9635579363
11,Nov,360,0.3837409525,-1.1748490831,0.7037130234,133,0.5296505522,0.6044547923,227,-0.1244357614,1.1022539634,-0.3709859728,-0.5759537740,0.9444758466,0.9594098850,0.9921865458,0.9642480331
12,Dec,372,0.4449865861,-0.6417396179,0.7240694835,158,0.6324644321,0.5245222935,214,0.0654607218,0.7869785871,-0.4174476095,-0.3257494408,1.0210112485,1.1202042234,0.9546994240,0.9646769995
