Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr_paper,mean_corr_legacy
1,Jan,464,0.4196524049,-0.7552970040,0.7223403009,183,0.5636827952,0.5169278665,281,0.0101697505,0.7977374272,-0.4703409569,-0.2964619814,1.0460411374,1.1783085285,0.9422038437,0.9636498402
2,Feb,423,0.5253817165,-0.5109050622,1.2688614688,186,0.6000213046,0.3880586222,237,0.0163609031,1.2250863087,-0.8816512513,0.8449177712,1.0231676809,1.1272597519,0.9527114971,0.9636843650
3,Mar,465,0.2688786325,-1.1105000166,0.9601684036,110,0.4902383059,0.5345441010,355,0.0598339748,0.9605110275,-1.0339304512,0.9709573949,0.9527258738,0.9778122479,0.9870888437,0.9634744968
4,Apr,450,0.4345331083,-0.7613533668,1.0115761815,167,0.5316346421,0.3947352867,283,-0.0302114564,0.9435497963,-0.9779753893,0.5716463083,0.8414807579,0.7633520186,1.0499283570,0.9631230134
5,May,465,0.2791223896,-1.4268519692,1.1493859452,108,0.3716373212,0.5651493564,357,-0.1303613072,1.2498256235,-1.1483717588,1.2146203401,0.7099893851,0.5439724638,1.1424507046,0.9626388785
6,Jun,450,0.2221661213,-1.6506681931,1.0897386666,78,0.3945864727,0.5610138113,372,-0.0597998235,1.2315105103,-1.2782797254,1.5738760728,0.5924900953,0.3785314661,1.2510928839,0.9630084573
7,Jul,465,0.2604552349,-1.0863227183,1.2464507589,90,0.5377098246,0.4329920390,375,0.1147220471,1.0513322053,-1.5560163897,2.5919867982,0.5385607528,0.3123399391,1.3131175024,0.9636535835
8,Aug,465,0.2667157751,-1.0443269489,1.2501897686,103,0.5878912682,0.4391665550,362,0.1525529213,1.0793441697,-1.5239925083,2.4541873241,0.5808162750,0.3642318172,1.2627880061,0.9623871973
9,Sep,450,0.2760646375,-1.2866396032,1.0134554118,110,0.5697119018,0.4940330713,340,0.0572388965,1.1489351438,-1.1726019302,1.0182760605,0.6927308330,0.5186982793,1.1556460932,0.9618494801
10,Oct,465,0.3103210628,-1.3239709424,0.9764169594,123,0.5044205513,0.5724556541,342,-0.0629678402,1.2373471086,-0.8942226761,0.3858220248,0.8246950220,0.7344718307,1.0596418803,0.9622896199
11,Nov,450,0.4097342682,-1.1411292586,0.6950244567,174,0.5420540087,0.6063081891,276,-0.1476038555,1.1001057930,-0.3026370887,-0.6447965440,0.9401348205,0.9531157222,0.9931669350,0.9629801199
12,Dec,465,0.4278762511,-0.6530921382,0.7363100399,184,0.6176296745,0.5248335699,281,0.0739179891,0.7848497147,-0.4621585022,-0.2528262807,1.0175182413,1.1154723030,0.9550843003,0.9634136783
