Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr_paper,mean_corr_legacy
1,Jan,340,0.4325943120,-0.7740596413,0.7007252214,141,0.5448517699,0.5202753211,199,-0.0257018046,0.7929779050,-0.4105464537,-0.3805260809,1.0412388998,1.1618465197,0.9466747892,0.9659975033
2,Feb,310,0.5259015778,-0.4483302856,1.2427490379,135,0.6292575421,0.3750235256,175,0.0625524033,1.1684139354,-0.8830872151,0.8650236580,1.0181040772,1.1107222416,0.9573998478,0.9660273948
3,Mar,341,0.2679775048,-1.1432917272,1.0667968217,76,0.4703711638,0.5503843131,265,0.0379458086,1.0375166945,-1.1123796743,1.2659817633,0.9481763406,0.9638040937,0.9918595378,0.9658167456
4,Apr,330,0.3673259235,-0.9122408637,1.0674993579,97,0.4669727224,0.4480972605,233,-0.0396481817,0.9876971003,-1.0844315941,0.9671433944,0.8382665416,0.7538488102,1.0545057185,0.9654727161
5,May,341,0.3854572883,-0.9077222451,1.1256654644,103,0.4521188282,0.4586250385,238,-0.0720418245,1.0557135140,-1.0672653174,0.9768008825,0.7089751599,0.5397512843,1.1460898528,0.9650152512
6,Jun,330,0.1969103901,-1.9317619557,1.0336567281,54,0.3367544857,0.5754860035,276,-0.1099399716,1.2901564887,-1.3050974445,1.5947016987,0.5942843004,0.3789458977,1.2523004128,0.9653963499
7,Jul,341,0.2740540518,-0.9473420692,1.2372631189,73,0.5461866566,0.4007380532,268,0.1368790578,0.9798877532,-1.5680085069,2.6844723288,0.5425797188,0.3154824145,1.3114272395,0.9659974460
8,Aug,341,0.2434046349,-1.2261736880,1.3539836324,66,0.5646659991,0.4769023265,275,0.1287673189,1.2089207139,-1.6036558962,2.8369979272,0.5848326700,0.3674529420,1.2615804437,0.9647854846
9,Sep,330,0.2589292435,-1.3139087071,1.0701361037,68,0.5210067196,0.5052772776,262,0.0458934563,1.1317827189,-1.2553704274,1.3973288513,0.6948923946,0.5193251535,1.1567489133,0.9642682771
10,Oct,341,0.2678408292,-1.5004930075,0.9578460026,81,0.4675577229,0.5972300793,260,-0.0595666166,1.2664323119,-0.9425843597,0.5312669216,0.8245305652,0.7305393799,1.0623841040,0.9646837072
11,Nov,330,0.3936249592,-1.1601923976,0.6987830293,126,0.5560904188,0.5770438113,204,-0.1194813347,1.0971916629,-0.3894618101,-0.6132280926,0.9378807055,0.9439001275,0.9968063096,0.9653495068
12,Dec,341,0.4611822350,-0.6105367470,0.7600988709,149,0.6351230688,0.5435675925,192,0.0606468909,0.8112293656,-0.4097961151,-0.2790373605,1.0136777632,1.1016727920,0.9592319768,0.9657697710
