Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr_paper,mean_corr_legacy
1,Jan,526,0.4013162139,-0.8058798985,0.7400040294,199,0.5551107782,0.5174722882,327,0.0089231527,0.8251125846,-0.5257523096,-0.2351434350,1.0313107500,1.1467947558,0.9483134783,0.9630452545
2,Feb,480,0.5104775117,-0.5205390576,1.2477300771,205,0.6128372958,0.3795019857,275,0.0342741551,1.1862232446,-0.9232331946,0.8765747667,1.0056877721,1.0904637911,0.9603420824,0.9630693134
3,Mar,527,0.2734662795,-1.0985803284,0.9584787320,123,0.4993621212,0.5218059570,404,0.0623787446,0.9563698819,-1.0509761167,0.9748708346,0.9344478774,0.9418659378,0.9960542557,0.9628542159
4,Apr,510,0.4291380738,-0.8103771058,1.0225147419,189,0.5443445253,0.3964919169,321,-0.0370181060,0.9880243275,-0.9884767488,0.5448448674,0.8248856238,0.7344594030,1.0597732904,0.9625201656
5,May,527,0.2815329198,-1.4476465472,1.1435245902,122,0.3753620647,0.5804302788,405,-0.1378748726,1.2824203623,-1.1081472453,1.0977284992,0.6981345231,0.5265403115,1.1514729610,0.9621068386
6,Jun,510,0.2348190533,-1.4928818255,1.1722692131,91,0.3898838624,0.5607614324,419,-0.0522253941,1.2002331726,-1.3016285986,1.7889249568,0.5885283283,0.3738516410,1.2546830773,0.9625376508
7,Jul,527,0.3215408827,-0.8930417497,1.1912669682,130,0.5633450891,0.4015682196,397,0.0950571794,1.0284252171,-1.3801800500,1.8708595093,0.5432880298,0.3182649413,1.3065338547,0.9630209516
8,Aug,527,0.2109352593,-1.3876732630,1.2151379654,87,0.5442719673,0.4702811409,440,0.1367565991,1.1072002127,-1.6350567606,2.8512566837,0.5896149340,0.3758134337,1.2525586988,0.9617945789
9,Sep,510,0.2649570964,-1.2532119919,1.0107710074,119,0.5578261493,0.4895153779,391,0.0779787420,1.0855988475,-1.2123509723,1.1991222204,0.6994207325,0.5292977161,1.1495271706,0.9613654091
10,Oct,527,0.2710675627,-1.4602680455,0.9690934870,129,0.4727500942,0.5849444842,398,-0.0512284216,1.2422890331,-0.9659537459,0.5898095099,0.8261319603,0.7378055763,1.0581658593,0.9617860137
11,Nov,510,0.4026794277,-1.1499538116,0.7112351569,193,0.5412973117,0.6332509543,317,-0.1397347227,1.1312187378,-0.2945878768,-0.6094888532,0.9355402079,0.9449088116,0.9950302392,0.9624263568
12,Dec,527,0.4420371005,-0.6591166210,0.7278992201,220,0.6065919750,0.5287838459,307,0.0471018171,0.7853433187,-0.4200153976,-0.3058529557,1.0073118532,1.0945319989,0.9593293703,0.9628302203
