Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr_paper,mean_corr_legacy
1,Jan,557,0.3993083900,-0.7997660635,0.7561347633,207,0.5598638237,0.5199230943,350,0.0169522025,0.8340852994,-0.5465095042,-0.1913294906,1.0230348522,1.1263498916,0.9530343494,0.9639483593
2,Feb,508,0.4890280580,-0.5518166952,1.2402865452,209,0.6115755321,0.4126951948,299,0.0426440905,1.1775119065,-0.9404722090,0.8908878427,0.9978873506,1.0716036225,0.9649919094,0.9639720257
3,Mar,558,0.2680794109,-1.1058551009,0.9664427649,126,0.4932020056,0.5178753263,432,0.0645277185,0.9483996403,-1.0814515809,1.0708632526,0.9280403925,0.9272429620,1.0004299084,0.9637626829
4,Apr,540,0.4012108521,-0.8558057402,1.0369034802,184,0.5215242724,0.4109104480,356,-0.0310754756,0.9882191263,-1.0420626797,0.7168069619,0.8207492729,0.7257208180,1.0634582938,0.9634423129
5,May,558,0.2745830055,-1.5127743393,1.1864015006,128,0.3584313032,0.5742315413,430,-0.1553699661,1.3231253443,-1.1784326473,1.2858174170,0.6969359855,0.5236988553,1.1536010227,0.9630571881
6,Jun,540,0.2275701227,-1.5530324677,1.2070365292,94,0.3760033635,0.5689088541,446,-0.0629875572,1.2356741171,-1.3398227475,1.9435413010,0.5902748594,0.3753390522,1.2540511960,0.9634793476
7,Jul,558,0.2978570295,-0.9209805879,1.1846515692,127,0.5469271488,0.4147821167,431,0.1097005109,0.9894532190,-1.4239647784,2.0938253171,0.5464071648,0.3213258372,1.3040233525,0.9639257045
8,Aug,558,0.2105930419,-1.3662639279,1.1988832415,93,0.5368989397,0.4672854475,465,0.1361060822,1.0772004771,-1.6281669374,2.8401845310,0.5913297586,0.3772384753,1.2520073465,0.9627682171
9,Sep,540,0.2659523474,-1.2827445879,0.9824617659,126,0.5607005003,0.4963194523,414,0.0704319519,1.1009455399,-1.1674590497,1.0361628490,0.6981873230,0.5263664690,1.1517066425,0.9623384786
10,Oct,558,0.2626542933,-1.4736361384,0.9793965597,132,0.4798352689,0.5758098764,426,-0.0332523830,1.2354578859,-1.0178130997,0.7161978884,0.8219679145,0.7289587640,1.0618812485,0.9627275153
11,Nov,540,0.3888002176,-1.1909829170,0.6964557175,200,0.5333359563,0.6452446458,340,-0.1370795968,1.1496082595,-0.2883462674,-0.6252880268,0.9291095656,0.9301880619,0.9994201124,0.9633443413
12,Dec,558,0.4523382592,-0.6763945523,0.7197003697,241,0.5995348281,0.5373647542,317,0.0223831533,0.7957410337,-0.3752961691,-0.3591621508,0.9994892408,1.0755693884,0.9639840431,0.9637378298
