Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr_paper,mean_corr_legacy
1,Jan,402,0.4154466854,-0.7676145414,0.7287571968,157,0.5456417364,0.5301493848,245,0.0000537687,0.8037625505,-0.4610566457,-0.2761213506,1.0504742324,1.1865195824,0.9409255180,0.9643794530
2,Feb,367,0.5417297805,-0.4688473464,1.2623002963,162,0.5937109961,0.3877854204,205,0.0180914985,1.2123983743,-0.8368095898,0.8118859052,1.0259330542,1.1316613341,0.9521410128,0.9644079543
3,Mar,403,0.2561715543,-1.1664160477,0.9998971442,86,0.4716446883,0.5451274925,317,0.0520201235,0.9884436313,-1.0851096678,1.1635051071,0.9527386113,0.9764112004,0.9878033775,0.9641783819
4,Apr,390,0.4047761585,-0.8048601790,1.0525550067,132,0.4984252285,0.4153789831,258,-0.0291136322,0.9603763816,-1.0441072081,0.8239934818,0.8377910833,0.7556203194,1.0529701332,0.9637933375
5,May,403,0.2801809865,-1.3909979988,0.9819562381,99,0.4351649467,0.5412321198,304,-0.0764911888,1.1535948162,-1.0344452292,0.7457704422,0.7020404869,0.5311860516,1.1496290996,0.9632495783
6,Jun,390,0.2079076996,-1.9204936974,1.0232752680,69,0.3456915588,0.5794453606,321,-0.1254658046,1.3293896311,-1.2500610210,1.3639040855,0.5808396406,0.3633089796,1.2644162188,0.9636474621
7,Jul,403,0.2624701112,-1.0315185330,1.2124166884,80,0.5559853670,0.4219005277,323,0.1393130418,1.0049525249,-1.5474934128,2.5420986236,0.5264313605,0.2979850316,1.3291489483,0.9643718582
8,Aug,403,0.3128076925,-0.8962070835,1.3324739094,99,0.6296140540,0.3995820776,304,0.1523254647,1.1655596593,-1.4906773623,2.3279255273,0.5728261671,0.3538738490,1.2722931514,0.9629386393
9,Sep,390,0.2730997424,-1.3033915745,1.0245254549,94,0.5450640416,0.4883844323,296,0.0402512891,1.1383276342,-1.2036963529,1.1166848709,0.6901937065,0.5142720535,1.1584813194,0.9624419240
10,Oct,403,0.2947310298,-1.3742905440,0.9708855470,104,0.4923583796,0.5835293286,299,-0.0578009800,1.2422467015,-0.9070854666,0.4383589756,0.8263305403,0.7363585124,1.0593323773,0.9629619973
11,Nov,390,0.3813309739,-1.1832980793,0.6821067762,142,0.5223851957,0.6129385086,248,-0.1280446687,1.0962200662,-0.3363058844,-0.6128727662,0.9442249546,0.9600004530,0.9917495636,0.9636953314
12,Dec,403,0.4381743967,-0.6468020098,0.7310181925,165,0.6177556454,0.5299753397,238,0.0636588577,0.7856211739,-0.4284069050,-0.2897131420,1.0224793795,1.1246744346,0.9534850052,0.9641423212
