Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr_paper,mean_corr_legacy
1,Jan,495,0.4020203859,-0.7806859386,0.7397742850,186,0.5536314201,0.5047032590,309,0.0172086407,0.8003414977,-0.5494789295,-0.2001175961,1.0383806492,1.1609729815,0.9457301545,0.9637081456
2,Feb,452,0.5050083113,-0.5279372994,1.2670817979,190,0.6051545448,0.3872852320,262,0.0329337460,1.2059747735,-0.9311263548,0.9314473865,1.0142562600,1.1075879937,0.9569400448,0.9637370984
3,Mar,496,0.2724973581,-1.1169457559,0.9537890162,117,0.4842426896,0.5370163309,379,0.0479230684,0.9659516157,-1.0132676752,0.9054525764,0.9437348003,0.9593391616,0.9918337865,0.9635269874
4,Apr,480,0.4200861785,-0.7909449550,1.0312871913,171,0.5366951937,0.3957056153,309,-0.0210280828,0.9669891974,-1.0212951978,0.6686398640,0.8339301665,0.7496106147,1.0547437930,0.9631896793
5,May,496,0.2879572608,-1.4048951215,1.1285465812,118,0.3707832184,0.5776161041,378,-0.1405362524,1.2508048800,-1.0819398993,1.0357587603,0.7056479980,0.5372124351,1.1460960834,0.9627534537
6,Jun,480,0.1983809280,-1.8286800545,1.0554942268,79,0.3723941760,0.5793492499,401,-0.0642569725,1.2605070984,-1.3004334003,1.6557991046,0.5930317059,0.3791092038,1.2507104904,0.9631540365
7,Jul,496,0.2977079574,-0.9231840314,1.2235200468,114,0.5562535067,0.4101603506,382,0.1158131790,1.0214331256,-1.4597640286,2.2319703817,0.5439820346,0.3186290232,1.3066209354,0.9637000709
8,Aug,496,0.2344413468,-1.1971587557,1.2310076242,94,0.5523423609,0.4554155952,402,0.1421869629,1.0633869909,-1.5890865637,2.7251943012,0.5878943360,0.3730900682,1.2552863143,0.9624815917
9,Sep,480,0.2691499374,-1.2253542143,1.0317432370,112,0.5549859290,0.4983476692,368,0.0758074908,1.0915040610,-1.2013476657,1.2141359829,0.6978418696,0.5262156759,1.1515866478,0.9620001334
10,Oct,496,0.3024979108,-1.3638615057,1.0154374438,128,0.5009853714,0.5715744407,368,-0.0631269129,1.2735420300,-0.9546299320,0.5305011395,0.8263021556,0.7371434256,1.0587500518,0.9624161174
11,Nov,480,0.4098214088,-1.1314251958,0.6937436289,186,0.5513343394,0.6217248282,294,-0.1382965440,1.1102598009,-0.2765614542,-0.6476478434,0.9380770777,0.9487695194,0.9943491344,0.9630706815
12,Dec,496,0.4387649716,-0.6711532759,0.7212179288,205,0.6085833615,0.5341407766,291,0.0470797521,0.7916402916,-0.4049591825,-0.3271742592,1.0122620016,1.1038147659,0.9576313774,0.9634847274
