Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr_paper,mean_corr_legacy
1,Jan,433,0.4220944101,-0.7520581864,0.7214286825,172,0.5645797371,0.5113315124,261,0.0088342295,0.7936446684,-0.4756449515,-0.2990327659,1.0562517722,1.2024851439,0.9372250018,0.9632246559
2,Feb,395,0.5497007825,-0.4913848636,1.2710847293,180,0.5940127260,0.3892524714,215,-0.0026311783,1.2479676940,-0.8239090884,0.7516051458,1.0320691613,1.1479773763,0.9481733313,0.9632569179
3,Mar,434,0.2733480931,-1.1337204812,0.9449123402,103,0.4895572247,0.5368434522,331,0.0458373592,0.9768763695,-1.0046572349,0.8531298345,0.9581533229,0.9899104270,0.9838288542,0.9630238894
4,Apr,420,0.4362854611,-0.7343681989,1.0251992017,155,0.5476829658,0.3816389278,265,-0.0116573177,0.9448959502,-1.0043267303,0.6368585995,0.8412166309,0.7636686157,1.0495459416,0.9626211040
5,May,434,0.2844787087,-1.3651746693,0.9550138319,106,0.4231158029,0.5422472230,328,-0.0856147615,1.1207966367,-0.9916582721,0.6471934523,0.7021106054,0.5326466251,1.1481091464,0.9620240811
6,Jun,420,0.2056085111,-1.9288512227,1.0591687917,70,0.3641826488,0.5993418552,350,-0.1072846314,1.3748224868,-1.2508280769,1.4226670885,0.5764932258,0.3588220434,1.2675279558,0.9623978649
7,Jul,434,0.2631057126,-1.1120278027,1.2179081951,88,0.5676261451,0.4315485489,346,0.1256995962,1.0744842806,-1.5285507238,2.3762446474,0.5185378236,0.2898070114,1.3376293091,0.9632211196
8,Aug,434,0.2403814672,-1.2443780001,1.3121924742,86,0.5855119401,0.4737789491,348,0.1456403115,1.1958391367,-1.5920510232,2.7166120573,0.5650762229,0.3452597589,1.2793239648,0.9616876793
9,Sep,420,0.2813448720,-1.2582161442,1.0153775136,104,0.5653477691,0.4805103958,316,0.0522974132,1.1283540725,-1.1857243127,1.0393439446,0.6854734494,0.5086072349,1.1609247017,0.9611681494
10,Oct,434,0.3042442349,-1.3718143086,0.9663710024,114,0.5093351756,0.5743945992,320,-0.0629937099,1.2627513969,-0.8972359650,0.3627576195,0.8252008046,0.7362182374,1.0587088309,0.9617370719
11,Nov,420,0.4287010038,-1.0833809405,0.7015074148,174,0.5747971189,0.5775513870,246,-0.1360654796,1.0749460135,-0.3161912161,-0.6572829682,0.9462292603,0.9664540829,0.9894812619,0.9625111319
12,Dec,434,0.4254556344,-0.6460225715,0.7271291312,172,0.6155880261,0.5163716552,262,0.0788286890,0.7672125417,-0.4697104524,-0.2504295137,1.0268320240,1.1370168443,0.9503120869,0.9629770907
