variant,desc,mean_gap_all,mean_gap_mainonly,mean_dprime_all,mean_dprime_mainonly,mean_bhatt_all,mean_bhatt_mainonly,mean_Emaxpost_all,mean_Emaxpost_mainonly,mean_sd_ratio_all,nov_dprime,dec_dprime
01_baseline_full_random,Repo default: full + random init,0.889890385184895,1.044242662534682,1.0008332799441346,1.176989778941183,0.33832482416923243,0.4053204363777746,0.7640788794148676,0.8103447688812017,2.4412456941013634,0.10379645067961446,0.13630511923817207
02_tied,covariance_type='tied' (sigma_c = sigma_s),0.07833567560219214,0.06827368849257727,0.0789792563341264,0.06889067950873375,0.0008766783362740117,0.0006331951092647082,0.5217827253566724,0.5208650269685894,1.0,0.13105472400693963,0.1277895569152399
03_reg_covar,full + reg_covar=0.05 (variance floor),0.9370253499832327,1.103351452564153,0.9791882947742271,1.1545889199713701,0.263408508628851,0.3156369716692327,0.7584061022530797,0.8049185921447553,1.9461343537983373,0.12044361776639842,0.08392671981062615
04_kmeans_init,full + init_params='kmeans',1.5011433774942475,1.4950543160880083,1.903069387054624,1.8162010090779046,0.5953505850158006,0.5742216781952811,0.8909190006186497,0.8925075411312793,2.0757144441514677,2.595108933382885,2.079713620493556
05_means_init_pct,full + means_init at empirical 25/75th pct,1.1561825667725845,1.1294855194117583,1.3770753069379127,1.3073709629483778,0.44112041173585004,0.445644295256385,0.8308710195651531,0.835142588611042,2.5749394678837767,2.122826800155003,1.3283672536161697
06_bayes_gm,"BayesianGaussianMixture, Dirichlet weight prior",1.1729806768222506,1.1463465706367164,1.412660831030098,1.3234758938853441,0.4612616411187327,0.44637778285327834,0.8360528151372458,0.837085840571946,2.595379189706406,2.4037728189958574,1.313398214511879
07_moment_match_var1,free fit then constrained to mixture var = 1,1.1085196446478,1.0920714280231223,1.337221905984495,1.2552774987633906,0.5132585461646871,0.47586627124474623,0.8441310688834002,0.8366104667336913,3.214374440514527,2.390467540579757,1.1034203436002767
08_winsorize,winsorize eps_tilde at +/- 4 then full+random,0.8850087683867093,1.040093564894573,1.009602705419772,1.1895334712473993,0.33867522506046327,0.4057638184088651,0.7634823071378279,0.8104802250705504,2.4121134651271325,0.11454913525076403,0.10534861731250757
09_pool_nov_dec_jan,pool Nov+Dec+Jan into one EM; others = baseline,0.8822238165875066,1.0394417782886225,0.9925373430165573,1.1714197538452233,0.3378938669476461,0.4049731128297858,0.7620420583439901,0.8092487110909806,2.4329897804012384,0.09812528887322738,0.09812528887322738
10_bic_select_k,"K in {1,2,3} per month chosen by BIC",0.8964734955733406,1.0757681946880087,0.9766785023943857,1.1720142028732627,0.3718294366014417,0.44619532392173006,0.8883324072868519,0.8659988887442227,2.7114630716203103,0.0,0.0
11_stack,tied + reg_covar=0.05 + kmeans + winsorize,2.0220480995623333,2.1253464518321357,2.910154370454995,3.068991504972926,1.0991841014855885,1.2051587129395496,0.9381403260986749,0.9538578519374885,1.0,2.3937542687295106,1.8381831270011642
